batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
004_01,5,004 M- V7 HES.vsi - 20x_BF_01.tif,004 MM V8_01.vsi - 20x_BF_01.tif,-0.08007793873548508,0,-0.12539350986480713,0,-0.17738181352615356,90,-0.22933924198150635,90,-0.2516915798187256,90,-0.30072593688964844,64,-0.39077094197273254,62,-0.5045788288116455,61,-0.566594123840332,61,145.0,-0.4856675863265991
004_01,6,004 MM V8_01.vsi - 20x_BF_01.tif,004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,-0.08141224831342697,0,-0.14006353914737701,0,-0.20320865511894226,0,-0.24898941814899445,270,-0.30303633213043213,271,-0.37417444586753845,279,-0.4497215151786804,279,-0.5531533360481262,281,-0.6104229092597961,279,279.0,-0.571904182434082
004_01,7,004_LPS_F9_094427_202205.vsi - 40x_BF_01.tif,004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,-0.07136180251836777,0,-0.13101966679096222,0,-0.1932760626077652,0,-0.24459995329380035,90,-0.3167678415775299,90,-0.3341785967350006,89,-0.409400999546051,91,-0.49503645300865173,83,-0.55891352891922,91,233.0,-0.4901961088180542
004_01,8,004_LTA_F10_095800_202205.vsi - 40x_BF_01.tif,004 HE R11_1.vsi - 20x_01.tif,-0.07391750067472458,0,-0.12219076603651047,0,-0.17508186399936676,0,-0.21258533000946045,0,-0.2648891806602478,319,-0.38246631622314453,126,-0.42162641882896423,324,-0.540876030921936,306,-0.5895580649375916,243,239.0,-0.5284237861633301
004_01,9,004 HE R11_1.vsi - 20x_01.tif,004 HE R21_1.vsi - 20x_01.tif,-0.09288162738084793,0,-0.13649047911167145,0,-0.1820463091135025,270,-0.24653121829032898,270,-0.34129393100738525,91,-0.43555548787117004,252,-0.540370762348175,250,-0.6576666235923767,60,-0.7267312407493591,250,247.0,-0.6452229022979736
046_01,1,046 HE R1_1.vsi - 20x_01.tif,046_ST_V10A20_011_1_01.tif,-0.0731205940246582,0,-0.1219867393374443,0,-0.1783619076013565,0,-0.23068055510520935,0,-0.2989683747291565,269,-0.3841087818145752,210,-0.48604100942611694,304,-0.6201313734054565,215,-0.6827204823493958,307,308.0,-0.6470596790313721
046_01,2,046_ST_V10A20_011_1_01.tif,046_MP_F3.vsi - 20x_BF_01.tif,-0.07803856581449509,0,-0.13045988976955414,0,-0.19818198680877686,0,-0.25154706835746765,0,-0.29658281803131104,90,-0.38615840673446655,326,-0.4843575060367584,326,-0.6079413294792175,326,-0.6606605648994446,326,326.0,-0.6252225041389465
046_01,3,046_MP_F3.vsi - 20x_BF_01.tif,046 M+ V6 HES.vsi - 20x_BF_01.tif,-0.07576896995306015,0,-0.13224761188030243,0,-0.19558043777942657,0,-0.23184172809123993,0,-0.29428648948669434,181,-0.365804523229599,186,-0.4636633098125458,191,-0.5787579417228699,192,-0.6592376828193665,199,303.0,-0.5901690721511841
046_01,4,046 M+ V6 HES.vsi - 20x_BF_01.tif,046 M- V7 HES.vsi - 20x_BF_01.tif,-0.06804554164409637,0,-0.11755682528018951,0,-0.17519159615039825,0,-0.22457155585289001,0,-0.31145045161247253,0,-0.41741636395454407,42,-0.5250787734985352,42,-0.6437283754348755,38,-0.7295108437538147,42,42.0,-0.6556844115257263
046_01,5,046 M- V7 HES.vsi - 20x_BF_01.tif,046 MM V8_01.vsi - 20x_BF_01.tif,-0.06383602321147919,0,-0.11799104511737823,0,-0.17866100370883942,0,-0.22372378408908844,0,-0.25345709919929504,179,-0.3108576238155365,181,-0.3843218982219696,181,-0.49856340885162354,70,-0.5749143958091736,69,69.0,-0.5035783052444458
