batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
048_02,9,048 HE R11_1.vsi - 20x_02.tif,048 HE R21_1.vsi - 20x_02.tif,-0.13060611486434937,153,-0.09576323628425598,153,-0.09864158928394318,158,-0.1660078465938568,173,-0.3211667835712433,174,-0.43643704056739807,174,-0.5181792378425598,241,-0.5959590077400208,192,-0.6584811806678772,192,193.0,-0.6355974674224854
047_04,1,047 HE R1_1.vsi - 20x_04.tif,047_ST_V10A20_007_4_04.tif,-0.14713966846466064,317,-0.10497791320085526,314,-0.0966656431555748,316,-0.15270882844924927,316,-0.3108982443809509,315,-0.4417782127857208,316,-0.5348384380340576,315,-0.6492632627487183,315,-0.7074700593948364,316,316.0,-0.6811106204986572
047_04,2,047_ST_V10A20_007_4_04.tif,047_MP_F3.vsi - old_05 - 20x_BF_04.tif,-0.13132643699645996,354,-0.08598706871271133,354,-0.060326848179101944,355,-0.06522266566753387,354,-0.1591467410326004,354,-0.2772029936313629,351,-0.37268105149269104,353,-0.5105813145637512,354,-0.5843561291694641,354,354.0,-0.5558099746704102
047_04,3,047_MP_F3.vsi - old_05 - 20x_BF_04.tif,047 M+ V6 HES.vsi - 20x_BF_04.tif,-0.12226393818855286,103,-0.07637564092874527,217,-0.05237896740436554,239,-0.07390759885311127,238,-0.20073921978473663,238,-0.3368346691131592,237,-0.43496569991111755,236,-0.5435408353805542,108,-0.6204922795295715,236,236.0,-0.6146131753921509
047_04,4,047 M+ V6 HES.vsi - 20x_BF_04.tif,047 M- V7 HES.vsi - 20x_BF_04.tif,-0.15008586645126343,264,-0.11550489813089371,267,-0.11663581430912018,266,-0.18875238299369812,266,-0.3428955078125,265,-0.48727476596832275,265,-0.5826793313026428,265,-0.6497306823730469,266,-0.7380465269088745,265,265.0,-0.7151678800582886
047_04,5,047 M- V7 HES.vsi - 20x_BF_04.tif,047 MM V8.vsi - 20x_BF_04.tif,-0.13579991459846497,294,-0.09241428971290588,296,-0.06789582222700119,284,-0.09774787724018097,173,-0.2281898707151413,159,-0.3832835853099823,246,-0.4819158911705017,188,-0.6049502491950989,289,-0.6764774322509766,289,289.0,-0.6668460369110107
047_04,6,047 MM V8.vsi - 20x_BF_04.tif,047_LPS_F9_095009_202205.vsi - 40x_BF_04.tif,-0.13699491322040558,145,-0.09863193333148956,145,-0.08391851931810379,145,-0.11641854792833328,145,-0.23444320261478424,145,-0.3458084166049957,145,-0.4217132031917572,145,-0.4651671051979065,145,-0.5517312288284302,145,145.0,-0.5647335052490234
047_04,7,047_LPS_F9_095009_202205.vsi - 40x_BF_04.tif,047_LTA_F10_100334_202205.vsi - 40x_BF_04.tif,-0.17459921538829803,42,-0.16268505156040192,42,-0.18332256376743317,42,-0.24191485345363617,42,-0.3632039725780487,42,-0.42945992946624756,42,-0.5162046551704407,42,-0.5959077477455139,42,-0.6457772850990295,42,42.0,-0.6667285561561584
047_04,8,047_LTA_F10_100334_202205.vsi - 40x_BF_04.tif,047 HE R11_1.vsi - 20x_04.tif,-0.1308504045009613,217,-0.08567369729280472,216,-0.0634753555059433,220,-0.09868839383125305,222,-0.2115481048822403,227,-0.3507665693759918,226,-0.43028783798217773,226,-0.530405580997467,227,-0.5968077778816223,227,227.0,-0.5855880379676819
047_04,9,047 HE R11_1.vsi - 20x_04.tif,047 HE R21_1.vsi - 20x_04.tif,-0.14808788895606995,325,-0.10468936711549759,326,-0.09411356598138809,326,-0.14003601670265198,325,-0.26932600140571594,325,-0.38079333305358887,325,-0.4883631467819214,323,-0.5661948919296265,80,-0.6622865796089172,310,310.0,-0.6181157827377319
