batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
004_01,9,004 HE R11_1.vsi - 20x_01.tif,004 HE R21_1.vsi - 20x_01.tif,-0.13896656036376953,96,-0.09447452425956726,96,-0.07840403914451599,295,-0.11612271517515182,297,-0.23908059298992157,295,-0.3494719862937927,295,-0.42629778385162354,295,-0.5050466060638428,111,-0.5699049830436707,295,112.0,-0.5443365573883057
046_01,1,046 HE R1_1.vsi - 20x_01.tif,046_ST_V10A20_011_1_01.tif,-0.11953934282064438,60,-0.08824892342090607,60,-0.08931584656238556,63,-0.14029692113399506,63,-0.2814902365207672,59,-0.43854692578315735,57,-0.5455848574638367,42,-0.6426080465316772,52,-0.7087112069129944,41,42.0,-0.7031553983688354
046_01,2,046_ST_V10A20_011_1_01.tif,046_MP_F3.vsi - 20x_BF_01.tif,-0.11847862601280212,29,-0.08831705898046494,29,-0.08014742285013199,29,-0.11382890492677689,28,-0.23442232608795166,34,-0.3838001787662506,35,-0.4873925745487213,41,-0.6022807955741882,44,-0.6710160970687866,27,27.0,-0.68511962890625
046_01,3,046_MP_F3.vsi - 20x_BF_01.tif,046 M+ V6 HES.vsi - 20x_BF_01.tif,-0.11864177882671356,57,-0.08317536115646362,66,-0.06833423674106598,57,-0.09884317964315414,61,-0.22948580980300903,60,-0.3452773690223694,59,-0.4430801272392273,59,-0.5143970847129822,60,-0.5946332216262817,60,60.0,-0.6061373949050903
046_01,4,046 M+ V6 HES.vsi - 20x_BF_01.tif,046 M- V7 HES.vsi - 20x_BF_01.tif,-0.12164334207773209,318,-0.0958048477768898,319,-0.09867829084396362,318,-0.1447390466928482,319,-0.2695438861846924,319,-0.3661080598831177,319,-0.44193267822265625,319,-0.5254398584365845,319,-0.5878368020057678,319,319.0,-0.6049609780311584
046_01,5,046 M- V7 HES.vsi - 20x_BF_01.tif,046 MM V8_01.vsi - 20x_BF_01.tif,-0.08998125791549683,289,-0.06284831464290619,289,-0.045583195984363556,290,-0.045839086174964905,288,-0.09450853615999222,291,-0.19182893633842468,347,-0.2608141303062439,291,-0.3736434876918793,290,-0.44049882888793945,291,291.0,-0.491296648979187
046_01,6,046 MM V8_01.vsi - 20x_BF_01.tif,046_LPS_F9_094744_202205.vsi - 40x_BF_01.tif,-0.09008648991584778,141,-0.059629861265420914,142,-0.04544264078140259,142,-0.0614795908331871,143,-0.14790435135364532,149,-0.26225438714027405,143,-0.34816935658454895,150,-0.47555044293403625,150,-0.5198968052864075,149,149.0,-0.582273006439209
046_01,7,046_LPS_F9_094744_202205.vsi - 40x_BF_01.tif,046_LTA_F10_100202_202205.vsi - 40x_BF_01.tif,-0.09597712755203247,235,-0.06622263044118881,235,-0.06276679039001465,234,-0.11249426752328873,232,-0.24430663883686066,230,-0.34278547763824463,231,-0.4723435938358307,230,-0.5640845894813538,231,-0.632154107093811,231,231.0,-0.6659162044525146
046_01,8,046_LTA_F10_100202_202205.vsi - 40x_BF_01.tif,046 HE R11_1.vsi - 20x_01.tif,-0.10715548694133759,252,-0.07524942606687546,255,-0.07543258368968964,253,-0.13749605417251587,253,-0.3037227690219879,252,-0.4769817888736725,252,-0.5615325570106506,252,-0.6850629448890686,252,-0.7394130825996399,252,252.0,-0.7631857991218567
046_01,9,046 HE R11_1.vsi - 20x_01.tif,046 HE R21_1.vsi - 20x_01.tif,-0.125080868601799,357,-0.0964914932847023,357,-0.10724365711212158,357,-0.19714967906475067,357,-0.3991548418998718,358,-0.5408103466033936,358,-0.6724797487258911,357,-0.7514979243278503,357,-0.8102772831916809,357,357.0,-0.813069224357605
002_04,1,002 HE R1_4.vsi - 20x_04.tif,002_ST_V19S23_002_4_04.tif,-0.11769638955593109,202,-0.08614668250083923,204,-0.08654319494962692,203,-0.13650822639465332,203,-0.2606951892375946,204,-0.39164912700653076,205,-0.47943314909935,205,-0.612163782119751,205,-0.6821381449699402,204,205.0,-0.6969622373580933
002_04,2,002_ST_V19S23_002_4_04.tif,002_MP_F3.vsi - old_05 - 20x_BF_04.tif,-0.11609731614589691,307,-0.08072619885206223,308,-0.07096138596534729,319,-0.10696044564247131,319,-0.24648016691207886,319,-0.392229825258255,129,-0.5017204880714417,317,-0.616955041885376,317,-0.6857288479804993,317,317.0,-0.6840749979019165
002_04,3,002_MP_F3.vsi - old_05 - 20x_BF_04.tif,002 M+ V6 HES.vsi - 20x_BF_04.tif,-0.11665840446949005,214,-0.08052521198987961,222,-0.0704192966222763,223,-0.11592989414930344,94,-0.2722860276699066,222,-0.44931337237358093,213,-0.5595422387123108,214,-0.6710379123687744,12,-0.7346132397651672,214,214.0,-0.7353907823562622
002_04,4,002 M+ V6 HES.vsi - 20x_BF_04.tif,002 M- V7 HES.vsi - 20x_BF_04.tif,-0.14207032322883606,356,-0.11481160670518875,356,-0.14117513597011566,355,-0.2436341941356659,354,-0.4233470857143402,355,-0.5643070936203003,354,-0.6685323119163513,354,-0.7622274160385132,353,-0.8056759238243103,354,354.0,-0.7863630056381226
002_04,5,002 M- V7 HES.vsi - 20x_BF_04.tif,002 MM V8_01.vsi - 20x_BF_04.tif,-0.09532495588064194,179,-0.06178112328052521,345,-0.04618031904101372,147,-0.061962973326444626,145,-0.15159979462623596,148,-0.29493582248687744,358,-0.39539507031440735,358,-0.5591869950294495,65,-0.6086323857307434,359,82.0,-0.6264699697494507
002_04,6,002 MM V8_01.vsi - 20x_BF_04.tif,002_LPS_F9_094135_202205.vsi - 40x_BF_04.tif,-0.09537164121866226,317,-0.06258323788642883,251,-0.05118698254227638,142,-0.06495179235935211,210,-0.15741845965385437,68,-0.27513566613197327,228,-0.35958486795425415,320,-0.4662891924381256,21,-0.5323741436004639,251,251.0,-0.575330913066864
002_04,7,002_LPS_F9_094135_202205.vsi - 40x_BF_04.tif,002_LTA_F10_095442_202205.vsi old_03 - 40x_BF_04.tif,-0.10053715109825134,47,-0.07271239161491394,47,-0.06252191215753555,47,-0.08263853192329407,48,-0.1638607233762741,47,-0.25066259503364563,30,-0.33179816603660583,30,-0.4075349271297455,46,-0.4696959853172302,37,38.0,-0.5225949287414551
002_04,8,002_LTA_F10_095442_202205.vsi old_03 - 40x_BF_04.tif,002 HE R11_4.vsi - 20x_04.tif,-0.1109737902879715,80,-0.07885651290416718,80,-0.06756535917520523,80,-0.09962977468967438,81,-0.20823150873184204,80,-0.3198777735233307,80,-0.41182512044906616,80,-0.5171971321105957,79,-0.5816609263420105,80,80.0,-0.6160995960235596
002_04,9,002 HE R11_4.vsi - 20x_04.tif,002 HE R21_4.vsi - 20x_04.tif,-0.13111041486263275,5,-0.09937121719121933,6,-0.10223940759897232,10,-0.17128919064998627,7,-0.3396826982498169,2,-0.4996872544288635,2,-0.5971642136573792,0,-0.702704131603241,1,-0.7602548599243164,0,0.0,-0.7544575929641724
001_03,1,001 HE R1_3.vsi - 20x_03.tif,001_ST_V19S23_106_3_03.tif,-0.1426430642604828,42,-0.10451924055814743,42,-0.11257748305797577,45,-0.19518226385116577,45,-0.3892877399921417,45,-0.5501778721809387,45,-0.6559451222419739,45,-0.7710945010185242,45,-0.8112595677375793,45,45.0,-0.7773197293281555
001_03,2,001_ST_V19S23_106_3_03.tif,001_MP_F3.vsi - 20x_BF_03.tif,-0.11034344136714935,12,-0.06961427628993988,16,-0.057069551199674606,148,-0.08373843133449554,136,-0.21101143956184387,263,-0.36219486594200134,145,-0.46515029668807983,142,-0.5876832008361816,9,-0.664875328540802,10,11.0,-0.6575093269348145
001_03,3,001_MP_F3.vsi - 20x_BF_03.tif,001 M+ V6 HES.vsi - 20x_BF_03.tif,-0.09840783476829529,207,-0.05958496779203415,203,-0.03591412305831909,203,-0.03843143954873085,162,-0.1024174764752388,342,-0.18421101570129395,150,-0.2648375630378723,137,-0.3865772783756256,203,-0.46904176473617554,203,203.0,-0.4243015944957733
001_03,4,001 M+ V6 HES.vsi - 20x_BF_03.tif,001 M- V7 HES.vsi - 20x_BF_03.tif,-0.13861626386642456,337,-0.10414788126945496,337,-0.11346909403800964,337,-0.18456417322158813,337,-0.3197914659976959,337,-0.40480509400367737,337,-0.4848761558532715,337,-0.5848437547683716,336,-0.654888391494751,337,337.0,-0.6126704216003418
001_03,5,001 M- V7 HES.vsi - 20x_BF_03.tif,001  MM V8.vsi - 20x_BF_03.tif,-0.1409689486026764,102,-0.0952252447605133,103,-0.07777022570371628,102,-0.12836359441280365,102,-0.2707114517688751,101,-0.4015542268753052,102,-0.49981626868247986,102,-0.6285379528999329,102,-0.6990527510643005,102,102.0,-0.6822763085365295
001_03,6,001  MM V8.vsi - 20x_BF_03.tif,001_LPS_F9_094012_202205.vsi - 40x_BF_03.tif,-0.12678773701190948,281,-0.08789591491222382,281,-0.07849915325641632,281,-0.1259119212627411,281,-0.23164066672325134,281,-0.35436275601387024,281,-0.43707916140556335,281,-0.5535506010055542,281,-0.5903933048248291,281,281.0,-0.5797116756439209
001_03,7,001_LPS_F9_094012_202205.vsi - 40x_BF_03.tif,001_LTA_F10_095324_202205.vsi - 40x_BF_03.tif,-0.14052386581897736,359,-0.11354809999465942,359,-0.1394447386264801,359,-0.2326880395412445,359,-0.38310572504997253,359,-0.48345115780830383,359,-0.5677509903907776,359,-0.6480380296707153,359,-0.7028672695159912,359,359.0,-0.7105957269668579
001_03,8,001_LTA_F10_095324_202205.vsi - 40x_BF_03.tif,001 HE R11_3.vsi - 20x_03.tif,-0.13225789368152618,85,-0.0957796722650528,85,-0.0997261181473732,85,-0.16992942988872528,85,-0.34088194370269775,85,-0.45894569158554077,85,-0.5655009150505066,85,-0.6256027221679688,84,-0.7240362167358398,85,85.0,-0.6966451406478882
001_03,9,001 HE R11_3.vsi - 20x_03.tif,001 HE R21_3.vsi - 20x_03.tif,-0.1279713213443756,7,-0.08717288076877594,257,-0.07639634609222412,346,-0.12027402967214584,346,-0.2525854706764221,356,-0.371775358915329,130,-0.47611212730407715,359,-0.633019745349884,358,-0.6760929226875305,355,355.0,-0.6325911283493042
